DBN,School Name,Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 1 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 2 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 3 or 4 in 8th Grade),Metric Value - Average score of students in the current cohort who took the ACT English exam,Metric Value - Average score of students in the current cohort who took the ACT Math exam,Metric Value - Average score of students in the current cohort who took the ACT Reading exam,Metric Value - Average score of students in the current cohort who took the ACT Science exam,Metric Value - Average score of students in the current cohort who took the SAT Math exam,Metric Value - Average score of students in the current cohort who took the SAT Reading and Writing exam
25Q252,"Queens School of Inquiry, The",84.20%,87.90%,100.00%,,,,,555.4,542.1
25Q263,Flushing International High School,59.20%,88.90%,80.00%,,,,,463.9,402.1
25Q281,East-West School of International Studies,76.00%,95.20%,97.80%,,,,,548,534.7
25Q285,World Journalism Preparatory: A College Board Scho,94.70%,96.90%,100.00%,,,,,510.9,533.8
25Q425,John Bowne High School,61.60%,78.90%,94.20%,21.8,23,23,22,489.5,477.8
25Q460,Flushing High School,53.60%,79.00%,86.20%,,,,,441.6,436.7
25Q525,Townsend Harris High School,,,99.40%,31.2,30.5,31.1,28.3,721.2,684.9
25Q670,Robert F. Kennedy Community High School,63.20%,79.70%,97.90%,,,,,498.5,482.1
26Q315,Business Technology Early College High School,77.80%,96.70%,93.30%,,,,,486.4,490.6
26Q415,Benjamin N. Cardozo High School,65.60%,88.50%,98.10%,23.9,24.9,24.4,23.7,574.4,550.4
26Q430,Francis Lewis High School,71.40%,88.70%,96.20%,24.7,25.8,24.6,24.3,599.3,551.4
26Q435,Martin Van Buren High School,60.00%,85.60%,94.50%,18.3,18.9,19.1,19.8,465.1,470.5
26Q495,Bayside High School,91.00%,99.50%,99.40%,24,24.6,23.7,23.1,574.3,547.3
26Q566,"Queens High School of Teaching, Liberal Arts and t",79.70%,92.30%,99.40%,18.3,18.3,19.1,19,474,480.5
27Q260,Frederick Douglass Academy VI High School,41.80%,67.60%,,,,,,400.6,427.7
27Q262,Channel View School for Research,88.90%,95.90%,98.20%,20.2,19.5,21,20.7,492.1,499.4
27Q302,"Queens High School for Information, Research, and",80.00%,97.00%,100.00%,,,,,429,432.8
27Q308,Robert H. Goddard High School of Communication Art,82.60%,98.40%,99.10%,18.6,19.9,21.3,19.4,503,510.2
27Q309,Academy of Medical Technology: A College Board Sch,73.00%,94.60%,100.00%,,,,,459.2,459.7
27Q314,Epic High School - South,45.50%,79.20%,,,,,,455.1,463.6
27Q323,Scholars' Academy,,,100.00%,24.9,25.3,25.5,23.9,631.6,617
27Q324,Rockaway Park High School for Environmental Sustai,65.10%,83.80%,88.90%,,,,,444.1,454.5
27Q334,Epic High School - North,66.70%,90.00%,96.30%,,,,,467.3,494
27Q351,Rockaway Collegiate High School,50.80%,81.40%,88.90%,,,,,437.5,436.3
27Q400,August Martin High School,55.70%,85.10%,,,,,,398.8,406.1
27Q475,Richmond Hill High School,62.00%,84.50%,89.30%,,,,,442.2,446.4
27Q480,John Adams High School,68.60%,82.70%,95.00%,,,,,453.8,445.7
27Q650,"High School for Construction Trades, Engineering a",88.40%,95.30%,99.20%,18.5,22.3,20,21.4,555.8,530.8
28Q157,J.H.S. 157 Stephen A. Halsey,,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,93.00%,97.30%,100.00%,,,,,488.5,511.5
28Q284,York Early College Academy,88.90%,100.00%,100.00%,,,,,562.6,554.2
28Q310,Queens Collegiate: A College Board School,81.50%,96.70%,100.00%,,,,,481.5,486.9
28Q325,Hillside Arts & Letters Academy,81.30%,94.10%,96.90%,,,,,441,453.7
28Q328,High School for Community Leadership,89.00%,96.50%,100.00%,,,,,467.6,470.8
28Q350,Jamaica Gateway to the Sciences,66.70%,98.60%,98.60%,,,,,531.2,514.6
28Q440,Forest Hills High School,71.80%,91.00%,96.90%,24.3,24.1,24.3,23.4,555.7,540.8
28Q505,Hillcrest High School,60.50%,81.70%,93.10%,22.3,22.1,23,20.8,464.3,470.8
28Q620,Thomas A. Edison Career and Technical Education Hi,69.20%,91.40%,96.90%,23.4,23.8,24.3,23.1,546.3,540.4
28Q680,Queens Gateway to Health Sciences Secondary School,,88.20%,99.40%,,,,,585.8,577.7
28Q686,Queens Metropolitan High School,74.50%,86.70%,98.50%,,,,,525.3,517
28Q687,Queens High School for the Sciences at York Colleg,,,99.50%,31.1,30.7,31.8,28.8,725.5,690.6
28Q690,High School for Law Enforcement and Public Safety,63.70%,87.50%,97.40%,,,,,437.6,456.1
28Q896,"Young Women's Leadership School, Queens",92.60%,100.00%,100.00%,20.4,19.3,20.3,19.5,510.5,525.9
29Q243,Institute for Health Professions at Cambria Height,77.80%,91.80%,100.00%,,,,,444.9,466.7
29Q248,Queens Preparatory Academy,53.30%,92.70%,100.00%,,,,,439.7,457
29Q259,Pathways College Preparatory School: A College Boa,50.00%,77.40%,90.90%,,,,,438.4,459.1
29Q265,Excelsior Preparatory High School,77.70%,87.70%,96.00%,,,,,458.5,469.1
29Q272,George Washington Carver High School for the Scien,60.80%,84.90%,100.00%,20.7,18.1,19.7,19.4,442,462.1
